seller_id,total_vendas
1835b56ce799e6a4dc4eddc053f04066,63302
b2ba3715d723d245138f291a6fe42594,63215
17f51e7198701186712e53a39c564617,63064
e9779976487b77c6d4ac45f75ec7afe9,61139
4e922959ae960d389249c378d1c939f5,60834
4d6d651bd7684af3fffabd5f08d12e5a,59738
2bf6a2c1e71bbd29a4ad64e6d3c3629f,59202
966cb4760537b1404caedd472cc610a5,57398
17a053fcb14bd219540cbde0df490be0,56971
c826c40d7b19f62a09e2d7c5e7295ee2,56923
9c0e69c7bf2619675bbadf47b43f655a,56588
06a2c3af7b3aee5d69171b0e14f0ee87,56128
c70c1b0d8ca86052f45a432a38b73958,56020
ba90964cff9b9e0e6f32b23b82465f7b,55637
d91fb3b7d041e83b64a00a3edfb37e4f,55626
eeb6de78f79159600292e314a77cbd18,54429
c3cfdc648177fdbbbb35635a37472c53,54428
850f4f8af5ea87287ac68de36e29107f,54027
b33e7c55446eabf8fe1a42d037ac7d6d,52117
712e6ed8aa4aa1fa65dab41fed5737e4,51501
834f3294fba9f932f56edc879193f925,51233
b839e41795b7f3ad94cc2014a52f6796,50984
634964b17796e64304cadf1ad3050fb7,50962
2eb70248d66e0e3ef83659f71b244378,50437
7142540dd4c91e2237acb7e911c4eba2,49861
dbc22125167c298ef99da25668e1011f,49389
53e4c6e0f4312d4d2107a8c9cddf45cd,48146
c3867b4666c7d76867627c2f7fb22e21,47992
7178f9f4dd81dcef02f62acdf8151e01,47835
7299e27ed73d2ad986de7f7c77d919fa,47547
855668e0971d4dfd7bef1b6a4133b41b,47239
88460e8ebdecbfecb5f9601833981930,47143
0241d4d5d36f10f80c644447315af0bd,46557
1900267e848ceeba8fa32d80c1a5f5a8,46523
e9bc59e7b60fc3063eb2290deda4cced,44814
87142160b41353c4e5fca2360caf6f92,44564
d2374cbcbb3ca4ab1086534108cc3ab7,44474
76d5af76d0271110f9af36c92573f765,43340
59417c56835dd8e2e72f91f809cd4092,42422
2528513dd95219a6013d4d05176e391a,42325
5c243662ce92d84573bfaff24c3e3700,42133
70a12e78e608ac31179aea7f8422044b,41988
d1c281d3ae149232351cd8c8cc885f0d,41368
0b90b6df587eb83608a64ea8b390cf07,40840
1554a68530182680ad5c8b042c3ab563,40717
897060da8b9a21f655304d50fd935913,39522
70eea00b476a314817cefde4aad4f89a,39325
dc4a0fc896dc34b0d5bfec8438291c80,38096
de23c3b98a88888289c6f5cc1209054a,37523
a3a38f4affed601eb87a97788c949667,37278
7681ef142fd2c19048da7430856b5588,36947
001cca7ae9ae17fb1caed9dfb1094831,36894
59b22a78efb79a4797979612b885db36,36839
d23019c84ffae2d5ef2270367b8605fc,36544
8b321bb669392f5163d04c59e235e066,36448
e59aa562b9f8076dd550fcddf0e73491,36422
12b9676b00f60f3b700e83af21824c0e,36183
9f505651f4a6abe901a56cdc21508025,35455
b32be1695eb7ec5f10f72d9610a12527,35304
16090f2ca825584b5a147ab24aa30c86,34648
900ba814c251a692506d7834c1218441,34438
7ad32824caee82087b3e2e5f33b1bf32,34319
c003204e1ab016dfa150abc119207b24,34181
7e1fb0a3ebfb01ffb3a7dae98bf3238d,33520
a416b6a846a11724393025641d4edd5e,33513
1c68394e931a64f90ea236c5ea590300,32609
1a3df491d1c4f1589fc2b934ada68bf2,32365
f457c46070d02cadd8a68551231220dd,32135
0b35c634521043bf4b47e21547b99ab5,31666
729f06993dac8e860d4f02d7088ca48a,30977
00ee68308b45bc5e2660cd833c3f81cc,30851
f62d7bb4a613ec758a03342d46b580b2,30473
b1b3948701c5c72445495bd161b83a4c,29677
710e3548e02bc1d2831dfc4f1b5b14d4,29502
b94cc9f10ddc85e4ba73a6f7974e7101,29320
48162d548f5b1b11b9d29d1e01f75a61,29088
8444e55c1f13cd5c179851e5ca5ebd00,28996
f45122a9ab94eb4f3f8953578bc0c560,28865
06e5eefc71ec47ae763c5c6f8db7064f,28808
fa40cc5b934574b62717c68f3d678b6d,28197
b37c4c02bda3161a7546a4e6d222d5b2,28035
612170e34b97004b3ba37eae81836b4c,27832
85d9eb9ddc5d00ca9336a2219c97bb13,27481
0c8380b62e38e8a1e6adbeba7eb9688c,27390
05ff92fedb5be47920fea08e501238b9,27327
8f2ce03f928b567e3d56181ae20ae952,27279
86ccac0b835037332a596a33b6949ee1,27197
744dac408745240a2c2528fb1b6028f3,26959
0dd184061fb0eaa7ca37932c68ab91c5,26616
004c9cd9d87a3c30c522c48c4fc07416,26584
2b3e4a2a3ea8e01938cabda2a3e5cc79,26454
41b39e28db005d9731d9d485a83b4c38,26283
2a5b78b41cd05baeac8df54c6606b92c,25742
c33847515fa6305ce6feb1e818569f13,25656
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,25600
bfd27a966d91cfaafdb25d076585f0da,25550
527801b552d0077ffd170872eb49683b,25533
59fb871bf6f4522a87ba567b42dafecf,25356
213b25e6f54661939f11710a6fddb871,25329
165fc07beebdcb6190fba8a06db2a449,25245
